Neighborhood,HouseStyle,sale_month,property_count,average_sale_price,median_sale_price,average_living_area,average_price_per_sqft,price_rank_in_month
Edwards,1Story,7,4,93975.0,92950.0,852.25,113.26797551249965,62
BrDale,2Story,7,1,85400.0,85400.0,987.0,86.52482269503547,63
IDOTRR,2Story,7,4,80000.0,66500.0,1236.25,63.887399920987065,64
BrkSide,1Story,7,3,70833.33333333333,72500.0,821.3333333333334,86.24151389423845,65
NridgHt,2Story,8,3,330000.0,284000.0,2183.3333333333335,150.13222923728907,1
NoRidge,1Story,8,2,325750.0,325750.0,2050.0,158.68877709846612,2
NoRidge,2Story,8,3,309250.0,315750.0,2314.3333333333335,133.36912160846893,3
Timber,2Story,8,1,305000.0,305000.0,2262.0,134.83642793987622,4
SawyerW,2Story,8,1,301000.0,301000.0,2730.0,110.25641025641026,5
SawyerW,SLvl,8,1,275000.0,275000.0,1644.0,167.27493917274938,6
Edwards,SLvl,8,1,274970.0,274970.0,2201.0,124.92957746478874,7
NridgHt,1Story,8,5,262058.6,253293.0,1651.0,159.0815194650185,8
StoneBr,1Story,8,4,260875.0,268500.0,1607.75,161.0097389788625,9
Somerst,1Story,8,4,260451.0,273527.0,1491.25,173.5447792775064,10
NWAmes,2Story,8,2,255000.0,255000.0,2503.5,102.3473376993759,11
Timber,1.5Fin,8,1,228950.0,228950.0,1786.0,128.19148936170214,12
Somerst,2Story,8,7,228036.0,227875.0,1874.0,121.72528631160375,13
Edwards,2Story,8,1,225000.0,225000.0,2008.0,112.05179282868527,14
CollgCr,2Story,8,5,214039.8,228500.0,1823.0,117.79662925167159,15
SawyerW,1Story,8,2,199950.0,199950.0,1347.0,148.9961512717537,16
Gilbert,1Story,8,3,199206.33333333334,181134.0,1437.3333333333333,138.14545228730015,17
SWISU,2.5Fin,8,1,197000.0,197000.0,3082.0,63.91953277092797,18
CollgCr,1Story,8,8,189637.5,183750.0,1307.875,143.61350516756704,19
Veenker,SLvl,8,1,187000.0,187000.0,1855.0,100.80862533692722,20
Mitchel,1.5Fin,8,2,182843.0,182843.0,1941.5,92.0990482416381,21
NWAmes,1Story,8,2,175375.0,175375.0,1419.5,123.48518767256175,22
Timber,SLvl,8,1,175000.0,175000.0,1509.0,115.97084161696488,23
Gilbert,2Story,8,4,170250.0,172000.0,1503.25,113.90739516133834,24
NAmes,2Story,8,2,164500.0,164500.0,2507.0,65.0659124697715,25
Crawfor,2.5Unf,8,1,164000.0,164000.0,1646.0,99.63547995139733,26
Sawyer,1.5Fin,8,2,162500.0,162500.0,1945.5,89.36733112714037,27
Crawfor,1Story,8,2,161000.0,161000.0,1058.0,153.59630734209313,28
Crawfor,2Story,8,4,160925.0,155000.0,1780.5,92.50273954401743,29
NWAmes,SLvl,8,1,158000.0,158000.0,2119.0,74.56347333647948,30
SWISU,1.5Fin,8,1,145000.0,145000.0,1477.0,98.1719702098849,31
NAmes,SLvl,8,2,142500.0,142500.0,1476.0,96.80797569818355,32
NAmes,1Story,8,7,141057.14285714287,139900.0,1129.7142857142858,126.09201711526032,33
OldTown,SFoyer,8,1,140000.0,140000.0,936.0,149.57264957264957,34
BrkSide,1.5Fin,8,2,135300.0,135300.0,1403.0,96.702467913004,35
MeadowV,1Story,8,1,134000.0,134000.0,1142.0,117.33800350262698,36
NAmes,1.5Fin,8,1,133000.0,133000.0,1578.0,84.28390367553865,37
Edwards,1Story,8,3,129333.33333333333,125000.0,1092.0,126.56991490754376,38
OldTown,2Story,8,3,126416.66666666667,106250.0,1544.6666666666667,82.1651421202906,39
Sawyer,1Story,8,4,119875.0,118750.0,1050.25,122.39948483196481,40
IDOTRR,1.5Fin,8,1,115000.0,115000.0,1517.0,75.80751483190508,41
OldTown,1.5Fin,8,4,113600.0,125950.0,1606.0,74.84496220966417,42
BrkSide,1.5Unf,8,1,113000.0,113000.0,1048.0,107.82442748091603,43
BrDale,2Story,8,2,106000.0,106000.0,1176.0,90.21120723248382,44
Edwards,1.5Fin,8,2,100750.0,100750.0,1326.0,77.40832537028189,45
OldTown,1Story,8,5,99980.0,107900.0,923.0,109.99067538501367,46
MeadowV,SFoyer,8,1,92000.0,92000.0,630.0,146.03174603174602,47
MeadowV,2Story,8,1,88000.0,88000.0,1092.0,80.58608058608058,48
BrkSide,1Story,8,2,82500.0,82500.0,902.0,91.7078453936235,49
IDOTRR,1Story,8,1,81000.0,81000.0,894.0,90.60402684563758,50
Crawfor,2Story,9,1,359100.0,359100.0,3194.0,112.42955541640576,1
NridgHt,2Story,9,2,325821.5,325821.5,2524.0,129.00420241204313,2
NridgHt,1Story,9,5,323706.2,315000.0,1789.2,177.1562966453402,3
SawyerW,1.5Fin,9,1,316600.0,316600.0,2132.0,148.49906191369607,4
Timber,1Story,9,1,315500.0,315500.0,1620.0,194.7530864197531,5
Somerst,1Story,9,3,249876.0,229456.0,1419.3333333333333,175.44424174678184,6
ClearCr,1.5Fin,9,1,240000.0,240000.0,2358.0,101.78117048346056,7
Gilbert,2Story,9,2,227195.0,227195.0,1758.5,128.0160528686757,8
SawyerW,2Story,9,1,215000.0,215000.0,1911.0,112.50654107796964,9
CollgCr,2Story,9,5,214280.0,195000.0,1849.4,115.49771986648629,10
ClearCr,2Story,9,1,211000.0,211000.0,2060.0,102.42718446601941,11
StoneBr,2Story,9,1,207500.0,207500.0,2090.0,99.2822966507177,12
NWAmes,2Story,9,1,205000.0,205000.0,1964.0,104.37881873727088,13
CollgCr,1Story,9,9,203988.88888888888,195400.0,1396.0,145.8724250412717,14
Crawfor,2.5Fin,9,1,191000.0,191000.0,2555.0,74.75538160469668,15
Mitchel,2Story,9,1,172000.0,172000.0,1968.0,87.39837398373983,16
NWAmes,SLvl,9,1,170000.0,170000.0,1920.0,88.54166666666667,17
SawyerW,1Story,9,2,169500.0,169500.0,1342.5,118.43695270324297,18
NWAmes,1Story,9,2,168500.0,168500.0,1292.0,130.82355990410161,19
Blmngtn,1Story,9,1,160200.0,160200.0,1145.0,139.9126637554585,20
Sawyer,1Story,9,2,141500.0,141500.0,1002.0,142.59205706574127,21
NAmes,1.5Fin,9,1,140000.0,140000.0,1668.0,83.93285371702638,22
Edwards,1.5Fin,9,2,136700.0,136700.0,1777.5,80.2070613887957,23
NAmes,1Story,9,2,136475.0,136475.0,1206.0,113.61175299463943,24
NAmes,2Story,9,2,135500.0,135500.0,1936.0,70.39835164835165,25
BrkSide,1.5Fin,9,1,114500.0,114500.0,1176.0,97.3639455782313,26
OldTown,2Story,9,3,110666.66666666667,107000.0,1684.6666666666667,72.09180840118682,27
IDOTRR,1.5Fin,9,1,108000.0,108000.0,1336.0,80.83832335329342,28
BrDale,2Story,9,1,106000.0,106000.0,987.0,107.39614994934144,29
Edwards,1Story,9,3,102833.33333333333,118000.0,1150.6666666666667,89.0230459844281,30
OldTown,1.5Fin,9,2,102400.0,102400.0,1533.5,66.76083556417822,31
Mitchel,1Story,9,1,93500.0,93500.0,974.0,95.99589322381931,32
StoneBr,2Story,10,1,438780.0,438780.0,2945.0,148.99151103565364,1
CollgCr,2Story,10,2,286485.0,286485.0,2076.0,136.11489956630908,2
NridgHt,1Story,10,3,284598.0,284000.0,1567.0,179.31723834205198,3
Gilbert,1Story,10,2,273745.0,273745.0,1531.0,172.6901045202756,4
Somerst,1Story,10,3,266959.3333333333,245000.0,1516.6666666666667,172.75839469727214,5
NridgHt,2Story,10,3,250666.66666666666,281000.0,2023.0,121.8449774818389,6
Blmngtn,1Story,10,3,248379.66666666666,246578.0,1541.3333333333333,161.16905073532092,7
StoneBr,1Story,10,5,241800.0,189000.0,1346.2,177.72205392532254,8
Somerst,2Story,10,1,241000.0,241000.0,1550.0,155.48387096774192,9
Crawfor,1Story,10,1,217000.0,217000.0,2259.0,96.06020362992474,10
Gilbert,2Story,10,3,199166.66666666666,194500.0,1680.6666666666667,119.45173317583802,11
NWAmes,2Story,10,1,197500.0,197500.0,1868.0,105.72805139186295,12
CollgCr,1Story,10,5,191695.6,200141.0,1477.4,130.4800890944669,13
ClearCr,SLvl,10,1,180000.0,180000.0,988.0,182.18623481781376,14
Sawyer,SLvl,10,1,175000.0,175000.0,1464.0,119.53551912568307,15
NAmes,2Story,10,2,172500.0,172500.0,1891.0,90.58678006625442,16
SawyerW,1Story,10,2,168750.0,168750.0,1849.5,93.26714982397584,17
BrkSide,1.5Fin,10,3,168066.66666666666,159000.0,1596.3333333333333,105.6282685087608,18
BrkSide,2Story,10,1,167500.0,167500.0,2019.0,82.96186230807331,19
OldTown,2.5Unf,10,1,163000.0,163000.0,1768.0,92.1945701357466,20
NAmes,SLvl,10,4,159725.0,161750.0,1302.0,125.3673207987215,21
OldTown,1Story,10,1,152000.0,152000.0,1616.0,94.05940594059406,22
NAmes,1Story,10,11,147945.45454545456,140000.0,1323.5454545454545,116.94943090532675,23
CollgCr,SLvl,10,1,147000.0,147000.0,1026.0,143.2748538011696,24
Edwards,2Story,10,2,146375.0,146375.0,3093.0,55.51672199593245,25
NWAmes,1Story,10,1,145000.0,145000.0,1258.0,115.26232114467409,26
OldTown,2Story,10,3,144168.0,157000.0,1502.6666666666667,96.54701343147036,27
Mitchel,1.5Fin,10,1,143000.0,143000.0,1362.0,104.99265785609398,28
NPkVill,1Story,10,2,141875.0,141875.0,1013.5,140.50785468634962,29
SWISU,1.5Fin,10,1,137450.0,137450.0,1608.0,85.47885572139303,30
Edwards,SFoyer,10,1,127500.0,127500.0,980.0,130.10204081632654,31
Edwards,SLvl,10,1,125000.0,125000.0,1125.0,111.11111111111111,32
Mitchel,1Story,10,2,125000.0,125000.0,869.5,144.69779650755208,32
Sawyer,1Story,10,3,122166.66666666667,128500.0,1222.0,102.19878180118867,33
Edwards,1.5Fin,10,2,120950.0,120950.0,1556.5,78.63317892174717,34
NAmes,1.5Fin,10,1,118500.0,118500.0,1216.0,97.45065789473684,35
Edwards,1Story,10,2,115500.0,115500.0,954.0,121.09704641350211,36
OldTown,1.5Fin,10,2,110500.0,110500.0,1246.0,90.08796119083516,37
BrkSide,1Story,10,1,100000.0,100000.0,1301.0,76.86395080707149,38
IDOTRR,1.5Fin,10,1,85000.0,85000.0,1526.0,55.70117955439056,39
SawyerW,1.5Unf,10,1,76000.0,76000.0,784.0,96.93877551020408,40
IDOTRR,1Story,10,1,35311.0,35311.0,480.0,73.56458333333333,41
Veenker,1Story,11,1,385000.0,385000.0,1842.0,209.01194353963083,1
NridgHt,2Story,11,3,365728.3333333333,325624.0,2416.6666666666665,150.69424321821057,2
NridgHt,1Story,11,4,349404.25,342500.0,1815.5,192.39013227557075,3
Crawfor,1Story,11,2,308250.0,308250.0,1646.0,187.08808244256778,4
NoRidge,2Story,11,2,300000.0,300000.0,2525.5,118.79754535819333,5
CollgCr,2Story,11,3,264166.6666666667,261500.0,2145.0,125.04046879046878,6
Gilbert,1Story,11,1,259000.0,259000.0,1530.0,169.281045751634,7
SawyerW,2Story,11,1,238000.0,238000.0,2127.0,111.89468735307945,8
Timber,1Story,11,3,234300.0,248900.0,1642.0,142.8028435642888,9
Somerst,2Story,11,2,218500.0,218500.0,1767.5,123.17321158831254,10
Gilbert,2Story,11,4,213177.5,220605.0,1931.25,110.7775004814489,11
Crawfor,2Story,11,2,208250.0,208250.0,2059.0,104.94544233845953,12
Mitchel,SFoyer,11,1,206300.0,206300.0,1344.0,153.4970238095238,13
Somerst,1Story,11,1,199900.0,199900.0,1241.0,161.07977437550363,14
NWAmes,2Story,11,6,199175.0,198950.0,1923.6666666666667,104.29760576043684,15
NWAmes,SLvl,11,1,197000.0,197000.0,1725.0,114.20289855072464,16
ClearCr,1Story,11,2,181500.0,181500.0,1579.0,117.88609453523776,17
OldTown,2Story,11,1,168000.0,168000.0,1742.0,96.44087256027555,18
ClearCr,1.5Fin,11,1,161500.0,161500.0,1788.0,90.32438478747204,19
CollgCr,1Story,11,3,154366.66666666666,152000.0,1103.3333333333333,142.50852846655332,20
CollgCr,SLvl,11,1,149900.0,149900.0,985.0,152.18274111675126,21
NWAmes,1Story,11,2,146000.0,146000.0,1417.0,107.39923968406289,22
Sawyer,1Story,11,3,143333.33333333334,137000.0,1366.6666666666667,111.92408559305996,23
NAmes,1Story,11,12,139650.0,123500.0,1258.8333333333333,114.93141162587328,24
Crawfor,1.5Fin,11,1,139000.0,139000.0,1250.0,111.2,25
Edwards,1Story,11,2,138700.0,138700.0,1577.5,88.86973894964368,26
SWISU,2Story,11,1,130000.0,130000.0,1964.0,66.19144602851324,27
BrkSide,1.5Fin,11,1,127500.0,127500.0,1367.0,93.26993416239941,28
Mitchel,1Story,11,2,122500.0,122500.0,1322.5,106.8382418496835,29
OldTown,2.5Unf,11,2,119950.0,119950.0,2214.5,54.01256962311138,30
OldTown,1.5Fin,11,2,112250.0,112250.0,1591.0,70.1551212713357,31
SawyerW,1Story,11,1,107000.0,107000.0,1056.0,101.32575757575758,32
BrkSide,1Story,11,1,105000.0,105000.0,875.0,120.0,33
BrDale,2Story,11,1,100000.0,100000.0,987.0,101.31712259371834,34
MeadowV,SLvl,11,1,91000.0,91000.0,988.0,92.10526315789474,35
IDOTRR,1Story,11,2,50950.0,50950.0,898.5,55.34103218817704,36
Crawfor,2Story,12,1,315000.0,315000.0,2727.0,115.51155115511551,1
NridgHt,1Story,12,3,296687.0,318000.0,1629.0,183.24712329839022,2
Somerst,2Story,12,3,291145.0,270000.0,2120.0,137.28088045834377,3
StoneBr,1Story,12,1,275000.0,275000.0,1742.0,157.86452353616534,4
NoRidge,2Story,12,2,270000.0,270000.0,2362.0,114.27289042006805,5
Timber,1Story,12,2,252450.0,252450.0,1527.5,165.65514865975456,6
Veenker,1Story,12,1,245500.0,245500.0,1288.0,190.6055900621118,7
ClearCr,1Story,12,2,235000.0,235000.0,1493.0,156.7061692546047,8
CollgCr,2Story,12,2,235000.0,235000.0,1971.0,119.51130033999193,8
Crawfor,1Story,12,3,226666.66666666666,223000.0,1716.3333333333333,132.56366554631197,9
Somerst,1Story,12,3,217866.66666666666,227000.0,1494.6666666666667,145.6731123575702,10
CollgCr,1Story,12,1,214000.0,214000.0,1536.0,139.32291666666666,11
SawyerW,2Story,12,2,200500.0,200500.0,1868.5,107.10727869081265,12
Gilbert,2Story,12,3,187666.66666666666,185000.0,1859.3333333333333,102.54817682811036,13
SawyerW,1Story,12,1,179000.0,179000.0,1349.0,132.69088213491474,14
Gilbert,SLvl,12,1,170000.0,170000.0,1430.0,118.88111888111888,15
NWAmes,2Story,12,1,162000.0,162000.0,1395.0,116.12903225806451,16
NAmes,1Story,12,6,154266.66666666666,156250.0,1279.5,122.58832650718348,17
NAmes,SLvl,12,2,152000.0,152000.0,1270.0,120.32106284960292,18
Mitchel,1Story,12,1,147000.0,147000.0,1120.0,131.25,19
SawyerW,SFoyer,12,1,144000.0,144000.0,884.0,162.89592760180994,20
IDOTRR,1.5Fin,12,1,141000.0,141000.0,1375.0,102.54545454545455,21
Sawyer,SLvl,12,1,140000.0,140000.0,1601.0,87.44534665833854,22
NAmes,1.5Fin,12,1,135000.0,135000.0,1192.0,113.25503355704699,23
SWISU,1.5Fin,12,1,135000.0,135000.0,1981.0,68.14740030287733,23
NAmes,SFoyer,12,2,129480.0,129480.0,921.5,140.4224107458466,24
OldTown,1.5Fin,12,1,115000.0,115000.0,1224.0,93.95424836601308,25
OldTown,2Story,12,2,114750.0,114750.0,2365.0,48.52958319208979,26
OldTown,1Story,12,3,98926.66666666667,97000.0,947.0,104.70814957876973,27
IDOTRR,1.5Unf,12,1,87000.0,87000.0,803.0,108.34371108343711,28
Sawyer,1Story,12,2,86141.5,86141.5,884.0,96.88667137823664,29
MeadowV,SFoyer,12,1,84500.0,84500.0,630.0,134.12698412698413,30
BrkSide,1Story,12,1,82500.0,82500.0,708.0,116.52542372881356,31
